,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
26,26,0.0,197073.95357210413,29.82845658928684,-0.004898605666111111,9445.682996819425,139.35954599853204,0.004898605666111111,-0.004898605666111112,0.004898605666111111,0.0,0.0,109.53108940924517,2753.0055410523482,0.0,0.0,0.0,0.0,109.53108940924169,29.82845658928684,139.35954599852846,109.5310894092452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0
27,27,0.0,197073.9535721042,29.82845658928684,-0.005808921101666666,9424.770880853424,139.34989425270157,0.005808921101666666,-0.00580892110166666,0.005808921101666666,0.0,0.0,109.52143766341472,2752.8842426370807,0.0,0.0,0.0,0.0,109.52143766341128,29.82845658928684,139.34989425269805,109.52143766341473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0
28,28,0.0,197073.95357210422,29.82845658928684,-0.00655671172722222,9401.166718635424,139.33900002398556,0.006556711727222222,-0.006556711727222211,0.006556711727222222,0.0,0.0,109.51054343469872,2752.747322883999,0.0,0.0,0.0,0.0,109.51054343469526,29.82845658928684,139.33900002398173,109.51054343469873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0
29,29,0.0,197073.95357210425,29.82845658928684,-0.007012048014999994,9375.923345781426,139.3273492365145,0.007012048015,-0.007012048014999987,0.007012048015,0.0,0.0,109.49889264722768,2752.6008870884875,0.0,0.0,0.0,0.0,109.49889264722395,29.82845658928684,139.32734923651097,109.49889264722768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0
30,30,0.0,197073.9535721043,29.82845658928684,-0.0060664170894444425,9354.084244259426,139.31726965119665,0.006066417089444444,-0.006066417089444434,0.006066417089444444,0.0,0.0,109.48881306190981,2752.4741930492014,0.0,0.0,0.0,0.0,109.48881306190626,29.82845658928684,139.31726965119313,109.48881306190981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006066417089444444,0.0,0.0,0.0
31,31,0.0,197073.95357210434,29.82845658928684,-0.005193655942222208,9335.387082867426,139.30864019209267,0.005193655942222221,-0.0051936559422222145,0.005193655942222221,0.0,0.0,109.48018360280582,2752.3657215494472,0.0,0.0,0.0,0.0,109.48018360280219,29.82845658928684,139.30864019208917,109.48018360280584,1.0,0.07477177315670108,-15774.929978671114,15774.929978671114,15774.92997867111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005193655942222221,15774.929978671073,-15774.929978671073,0.0
32,32,0.0,197073.95357210436,29.82845658928684,-0.0021833732114444337,9327.526939306226,139.30501243352595,0.002183373211444444,-0.002183373211444443,0.002183373211444444,0.0,0.0,109.4765558442391,2752.3201196847376,0.0,0.0,0.0,0.0,109.47655584423555,29.82845658928684,139.3050124335225,109.47655584423912,1.0,0.2358591708815945,-49760.24706124187,49760.24706124187,49760.24706124187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002183373211444444,49760.247061241775,-49760.247061241775,0.0
33,33,0.0,197073.9535721044,29.828456589286844,-0.018940665461666617,9259.340543644226,139.27354178937426,0.018940665461666666,-0.018940665461666634,0.018940665461666666,0.0,5.551115123125783e-17,109.4450852000874,2751.924493826042,0.0,0.0,0.0,0.0016774965339971838,109.44788249007344,29.828456589286844,139.27632901438113,109.4450852000874,1.0,0.3846877203897489,-81159.26099659504,81159.26099659503,81159.26099659503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016774965339971838,-0.018940665461666666,81159.26099659501,-81159.26099659501,0.0
34,34,0.0,197073.95357210442,29.828456589286844,-0.01654799571833332,9199.767759058226,139.24604665802687,0.01654799571833333,-0.01654799571833333,0.01654799571833333,0.0,0.0,109.41759006874,2751.57879863999,0.0,0.0,0.0,0.0,109.42038735872593,29.828456589286844,139.2488338830338,109.41759006874,1.0,0.5137134929205837,-108380.39594082437,108380.39594082435,108380.39594082438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01654799571833333,108380.39594082425,-108380.39594082425,0.0
35,35,0.0,197073.95357210448,29.828456589286844,-0.025676938462777743,9107.330780592227,139.2033834371964,0.025676938462777774,-0.025676938462777753,0.025676938462777774,0.0,2.7755575615628914e-17,109.37492684790955,2751.0423096753984,0.0,0.0,0.0,0.001676246502013243,109.3805193434087,29.828456589286844,139.20895581023723,109.37492684790956,1.0,0.6112149495870927,-128950.70726016711,128950.70726016711,128950.70726016714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001676246502013243,-0.025676938462777774,128950.70726016678,-128950.70726016678,0.0
