,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
20,20,0.0,197073.9557768506,29.82845659296142,-0.024667756384444406,9599.83369254144,139.4306924734807,0.024667756384444444,0.0,0.024667756384444444,0.0,0.0,109.60223588051926,2753.899523049076,0.0,0.0,0.0,0.0,0.0,109.60223588051926,2753.899523049076,0.0,0.0,0.0,2.7755575615628914e-17,0.0,29.82845659296142,0.0,109.60223588051926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.9557768506,29.82845659296142,-0.014273629191111109,9548.44862745344,139.4069762895939,0.014273629191111109,0.0,0.014273629191111109,0.0,0.0,109.57851969663248,2753.6015568631556,0.0,0.0,0.0,0.0,0.0,109.57851969663248,2753.6015568631556,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.57851969663248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.9557768506,29.82845659296142,0.0,9548.44862745344,139.4069762895939,0.0,0.0,0.0,0.0,0.0,109.57851969663248,2753.6015568631556,0.0,0.0,0.0,0.0,0.0,109.57851969663248,2753.6015568631556,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.57851969663248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,197073.9557768506,29.82845659296142,-0.01345856449777777,9500.0,139.3846153846154,0.013458564497777777,0.0,0.013458564497777777,0.0,0.0,109.55615777408234,2753.320575854546,0.0,0.0,0.0,0.0,0.0,109.55615777408234,2753.320575854546,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.55615777408234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
24,24,0.0,197073.9557768506,29.82845659296142,-0.003888888888888886,9486.0,139.37815384615385,0.0038888888888888888,0.0,0.0038888888888888888,0.0,0.0,109.54969623562077,2753.2393802863485,0.0,0.0,0.0,0.0,0.0,109.54969623562077,2753.2393802863485,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.54969623562077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
25,25,0.0,197073.9557768506,29.82845659296142,-0.006300561886111111,9463.317977210034,139.3676852202508,0.006300561886111111,0.0,0.006300561886111111,0.0,0.0,109.53922760971773,2753.107826651674,0.0,0.0,0.0,0.0,0.0,109.53922760971773,2753.107826651674,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.53922760971773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0
26,26,0.0,197073.9557768506,29.82845659296142,-0.004898605666111111,9445.682996812033,139.35954599852863,0.004898605666111111,0.0,0.004898605666111111,0.0,0.0,109.53108838799555,2753.005541052366,0.0,0.0,0.0,0.0,0.0,109.53108838799555,2753.005541052366,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.53108838799555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0
27,27,0.0,197073.9557768506,29.82845659296142,-0.005808921101666666,9424.770880846034,139.3498942526982,0.005808921101666666,0.0,0.005808921101666666,0.0,0.0,109.5214366421651,2752.884242637099,0.0,0.0,0.0,0.0,0.0,109.5214366421651,2752.884242637099,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.5214366421651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0
28,28,0.0,197073.9557768506,29.82845659296142,-0.00655671172722222,9401.166718628034,139.33900002398218,0.006556711727222222,0.0,0.006556711727222222,0.0,0.0,109.51054241344912,2752.7473228840167,0.0,0.0,0.0,0.0,0.0,109.51054241344912,2752.7473228840167,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.51054241344912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0
29,29,0.0,197073.9557768506,29.82845659296142,-0.007012048014999994,9375.923345774034,139.3273492365111,0.007012048015,0.0,0.007012048015,0.0,0.0,109.49889162597802,2752.6008870885066,0.0,0.0,0.0,0.0,0.0,109.49889162597802,2752.6008870885066,0.0,0.0,0.0,0.0,0.0,29.82845659296142,0.0,109.49889162597802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-11,0.0,2.847856240093773e-14,2.847856240093773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007012048015,0.0,0.0,0.0
