,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
20,20,0.0,197073.953572112,29.82845658928685,-0.024667756384444444,9599.835897279998,139.43069349105232,0.024667756384444444,-0.024667756384444444,0.024667756384444444,0.0,0.0,109.60223690176551,2753.8995230490164,0.0,0.0,0.0,0.0,0.0,109.60223690176551,0.0,0.0,0.0,109.60223690176551,29.82845658928685,139.43069349105232,109.60223690176551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024667756384444444,0.0,0.0,0.0
21,21,0.0,197073.953572112,29.82845658928685,-0.01427362919111111,9548.450832191998,139.40697730716556,0.014273629191111109,-0.014273629191111109,0.014273629191111109,0.0,0.0,109.57852071787869,2753.6015568617668,0.0,0.0,0.0,-1.0842021724855043e-19,0.0,109.57852071787869,0.0,0.0,0.0,109.57852071787869,29.82845658928685,139.40697730716556,109.5785207178787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0842021724855043e-19,0.0,0.0,-0.014273629191111109,0.0,0.0,0.0
22,22,0.0,197073.953572112,29.82845658928685,0.0,9548.450832192,139.40697730716556,0.0,0.0,0.0,0.0,0.0,109.57852071787875,2753.6015568618395,0.0,0.0,0.0,0.0,0.0,109.57852071787875,0.0,0.0,0.0,109.57852071787875,29.82845658928685,139.40697730716556,109.57852071787873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,197073.953572112,29.82845658928685,-0.013458564497777511,9500.0,139.38461538461542,0.013458564497777777,-0.013458564497777777,0.013458564497777777,0.0,0.0,109.55615879532857,2753.3205758533686,0.0,0.0,0.0,0.0,0.0,109.55615879532857,0.0,0.0,0.0,109.55615879532857,29.82845658928685,139.38461538461542,109.55615879532857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013458564497777777,0.0,0.0,0.0
24,24,0.0,197073.953572112,29.828456589286848,-0.0038888888889009794,9485.999999999956,139.37815384615382,0.0038888888888888888,-0.0038888888888888888,0.0038888888888888888,0.0,0.0,109.54969725686699,2753.2393801641283,0.0,0.0,0.0,-5.618210720460164e-21,0.0,109.54969725686699,0.0,0.0,0.0,109.54969725686699,29.82845658928684,139.37815384615382,109.54969725686699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.618210720460164e-21,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
25,25,0.0,197073.953572112,29.828456589286848,-0.006300561886111111,9463.317977209956,139.36768522025073,0.006300561886111111,-0.006300561886111111,0.006300561886111111,0.0,0.0,109.53922863096386,2753.1078265303768,0.0,0.0,0.0,0.0,0.0,109.53922863096386,0.0,0.0,0.0,109.53922863096386,29.828456589286848,139.36768522025073,109.53922863096386,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006300561886111111,0.0,0.0,0.0
26,26,0.0,197073.953572112,29.828456589286848,-0.004898605666111111,9445.682996811955,139.3595459985286,0.004898605666111111,-0.004898605666111111,0.004898605666111111,0.0,0.0,109.53108940924174,2753.005540808493,0.0,0.0,0.0,-4.2690460541616737e-19,0.0,109.53108940924174,0.0,0.0,0.0,109.53108940924174,29.82845658928685,139.3595459985286,109.53108940924173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2690460541616737e-19,0.0,0.0,-0.004898605666111111,0.0,0.0,0.0
27,27,0.0,197073.953572112,29.828456589286844,-0.005808921101666665,9424.770880845954,139.3498942526981,0.005808921101666666,-0.005808921101666666,0.005808921101666666,0.0,0.0,109.52143766341128,2752.8842422713715,0.0,0.0,0.0,-3.618524750670371e-18,0.0,109.52143766341128,0.0,0.0,0.0,109.52143766341128,29.82845658928685,139.3498942526981,109.52143766341126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.618524750670371e-18,0.0,0.0,-0.005808921101666666,0.0,0.0,0.0
28,28,0.0,197073.953572112,29.82845658928685,-0.0065567117272222215,9401.166718627956,139.33900002398215,0.006556711727222222,-0.006556711727222222,0.006556711727222222,0.0,0.0,109.51054343469528,2752.7473223963507,0.0,0.0,0.0,-1.7702988597614877e-19,0.0,109.51054343469528,0.0,0.0,0.0,109.51054343469528,29.828456589286848,139.33900002398215,109.51054343469528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7702988597614877e-19,0.0,0.0,-0.006556711727222222,0.0,0.0,0.0
29,29,0.0,197073.953572112,29.828456589286855,-0.007012048015,9375.923345773956,139.32734923651105,0.007012048015,-0.007012048015,0.007012048015,0.0,0.0,109.49889264722424,2752.600886047949,0.0,0.0,0.0,-1.7702988597614875e-19,0.0,109.49889264722424,0.0,0.0,0.0,109.49889264722424,29.828456589286855,139.32734923651105,109.49889264722422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7702988597614875e-19,0.0,0.0,-0.007012048015,0.0,0.0,0.0
